Date,Name,Progress,Challenge,Bug,Image
12/5/2022,Music Searcher,the very beginning and setup with api,figuring out what i wanted to do my project on,none at the moment,https://drive.google.com/open?id=1Dg_xJ6vV6jY6IXzBpluAF4bFD51rHngt
12/5/2022,Unsolicited Advice,"I created the project, its components, made a blueprint for the app, and wrote the README... I am moving at an ungodly slow pace, but lawd I am movin' (kinda).","Staying on track, simplifying, and refraining from establishing impossible goals.",Hard to have bugs in an empty app. I am the bug.,https://drive.google.com/open?id=1SQcc3yvmivv6VftfkhJWHR84CU42wZkH
12/5/2022,Movie Tracker,Built out all of my React components and implemented basic functionality,Learning React Router on the fly; resisting urge to jump to CSS before building out basic functionality,Can't set a movie as a favorite yet,https://drive.google.com/open?id=1g4ZxCT5Buo4HhmuSYtO6A0va3SREo6bA
12/5/2022,Weeb Trash,"Setting up components, establishing hierarchy, importing main API db",Getting React up and running tbh,None,https://drive.google.com/open?id=1HJAmU5qHc4C7zl2dPUmLLZ_gd-B6MUS8
12/5/2022,Adopt Til' You Drop,Creating a blank JS file,Creating a blank JS file,Basic functionality,https://drive.google.com/open?id=1zLyGKbBf2z134EThmSQxcivUL2-HiByK
12/5/2022,Lord of the Rings Character Wiki,Successful API fetch and population of website data,fetching the data since it requires an auth key,data set is kind of sloppy,https://drive.google.com/open?id=1ghNLGINxoeiJ4tuWlayzl7JM7P1qXHBl
12/5/2022,Ribbit,"created migrations, models, most controllers, all of the routes, tested with seeding data, started basework for react components",making sure the tables were formatted correctly,"none, killed it. ",https://drive.google.com/open?id=1Qv3tjxWxzmL9uBZOxA8ewPA0r9oiFGMo
12/5/2022,Destination Picker,"Design, routing, seed data, and other various minor tweaks",I can't seem to get the right destination information to load when clicked.  Probably something really simple I'm missing,None right now besides the minor routing issue,https://drive.google.com/open?id=11DKx6T5iavS6vOUfm7BMVUkBcnJgFY-9
12/5/2022,Kick Stop ,I accomplished getting my react app and my database set up.,My biggest challenge was gathering the data for my database because it was very tedious. ,No known bugs at the moment.,https://drive.google.com/open?id=1d0gmhbG2e3fUkYIGWeQPhdQxYqFQs_L7
12/5/2022,Beany,Created database,make login work,login button,https://drive.google.com/open?id=1Ov3SDJCe5clFi6x2MzCiXd3Lf1JAHopj
12/5/2022,Soccer League,Declaring tasks to work on,Get vite.js to work,Vite relative path and react-router-dom,https://drive.google.com/open?id=1OhCI1AfDXW1IXv26_43THCnjfskXKavG
12/5/2022,PEAKED,finished db.json,figuring out how to move cards between pages,can't remove card from favorite list,https://drive.google.com/open?id=1mDjqUJo3cpW2E6R1Xg9G3A4rr4_xeccH
